date,description,debit_account,debit_amount,credit_account,debit_amount
2025/2/14,교통(명지전문대),KR60004-Transportation Expenses,"3,000",KR30201-Friends Debt,"3,000"
2025/2/15,Tisya,KR10105-Kakao Checking Account,"10,000",KR10403-Friends Receivable,"10,000"
2025/2/15,Transfer to Toss,KR10101-Toss Checking Account,"10,000",KR10105-Kakao Checking Account,"10,000"
2025/2/15,이자,KR10213-Toss Emergency Fund Account,2,KR70006-Other Income,2
2025/2/15,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/15,Withdraw,KR10000-Cash,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/15,김솔민,KR10101-Toss Checking Account,"6,680",KR10213-Toss Emergency Fund Account,"6,680"
2025/2/15,김솔민,KR60002-Food Expenses,"9,500",KR10101-Toss Checking Account,"9,500"
2025/2/15,십일조,KR60005-Personal Expenses,"10,000",KR10000-Cash,"10,000"
2025/2/16,이자,KR10213-Toss Emergency Fund Account,1,KR70006-Other Income,1
2025/2/16,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/16,택시,KR10101-Toss Checking Account,"30,000",KR10213-Toss Emergency Fund Account,"30,000"
2025/2/16,택시,KR60004-Transportation Expenses,"14,400",KR10101-Toss Checking Account,"14,400"
2025/2/16,Cashback,KR10101-Toss Checking Account,500,KR70006-Other Income,500
2025/2/16,GS25,KR60005-Personal Expenses,"12,900",KR10101-Toss Checking Account,"12,900"
2025/2/16,Cashback,KR10101-Toss Checking Account,500,KR70006-Other Income,500
2025/2/16,House Deposit (9 million),KR10101-Toss Checking Account,"4,500,000",KR30201-Friends Debt,"4,500,000"
2025/2/16,House Deposit (9 million),KR10101-Toss Checking Account,"1,500,000",KR30201-Friends Debt,"1,500,000"
2025/2/16,House Deposit (9 million),KR10101-Toss Checking Account,"3,000,000",KR30201-Friends Debt,"3,000,000"
2025/2/16,Recharge,KR10213-Toss Emergency Fund Account,"8,950,000",KR10101-Toss Checking Account,"8,950,000"
2025/2/16,House Deposit (9 million),KR10101-Toss Checking Account,"1,000,000",KR30201-Friends Debt,"1,000,000"
2025/2/16,Recharge,KR10213-Toss Emergency Fund Account,"1,000,000",KR10101-Toss Checking Account,"1,000,000"
2025/2/16,Dinner w 시온 식구,KR10101-Toss Checking Account,"100,000",KR10213-Toss Emergency Fund Account,"100,000"
2025/2/16,오성학,KR10102-Hana Checking Account,"67,000",KR10403-Friends Receivable,"67,000"
2025/2/16,오성학,KR10102-Hana Checking Account,"12,000",KR10403-Friends Receivable,"12,000"
2025/2/16,Transfer to Toss,KR10101-Toss Checking Account,"14,700",KR10105-Kakao Checking Account,"14,700"
2025/2/16,Transfer to Toss,KR10101-Toss Checking Account,"79,000",KR10102-Hana Checking Account,"79,000"
2025/2/16,Dinner w 시온 식구,KR10213-Toss Emergency Fund Account,"119,400",KR10101-Toss Checking Account,"119,400"
2025/2/17,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/17,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/17,Transfer to Toss,KR10101-Toss Checking Account,"14,700",KR10102-Hana Checking Account,"14,700"
2025/2/17,Recharge,KR10213-Toss Emergency Fund Account,"14,703",KR10101-Toss Checking Account,"14,703"
2025/2/17,Top up house deposit + rent,KR10101-Toss Checking Account,"162,294",KR10214-Toss Preparation Fund Account,"162,294"
2025/2/17,Top up house deposit + rent,KR10213-Toss Emergency Fund Account,"162,294",KR10101-Toss Checking Account,"162,294"
2025/2/17,이자,KR10213-Toss Emergency Fund Account,476,KR70006-Other Income,476
2025/2/17,이자,KR10214-Toss Preparation Fund Account,16,KR70006-Other Income,16
2025/2/17,신한 교통 2월 ,KR10101-Toss Checking Account,"3,000",KR10214-Toss Preparation Fund Account,"3,000"
2025/2/17,Transfer to Shinhan,KR10103-Shinhan Checking Account,"3,000",KR10101-Toss Checking Account,"3,000"
2025/2/17,Printing,KR10101-Toss Checking Account,"2,700",KR10214-Toss Preparation Fund Account,"2,700"
2025/2/17,Printing,KR60005-Personal Expenses,"2,700",KR10101-Toss Checking Account,"2,700"
2025/2/17,신한 교통 2월 ,KR30201-Friends Debt,"3,000",KR10103-Shinhan Checking Account,"3,000"
2025/2/17,Taxi,KR10101-Toss Checking Account,"30,000",KR10214-Toss Preparation Fund Account,"30,000"
2025/2/17,Taxi,KR10101-Toss Checking Account,"10,000",KR10214-Toss Preparation Fund Account,"10,000"
2025/2/17,"Taxi w 현재, 재국",KR60004-Transportation Expenses,"29,600",KR10101-Toss Checking Account,"29,600"
2025/2/17,Cashback,KR10101-Toss Checking Account,500,KR70006-Other Income,500
2025/2/17,"교통(안경 맞춤, 서현재, 곽재국)",KR60004-Transportation Expenses,"3,200",KR30201-Friends Debt,"3,200"
2025/2/18,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/18,이자,KR10213-Toss Emergency Fund Account,486,KR70006-Other Income,486
2025/2/18,이자,KR10214-Toss Preparation Fund Account,4,KR70006-Other Income,4
2025/2/18,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/18,Transfer to Hana,KR10102-Hana Checking Account,"3,000",KR10101-Toss Checking Account,"3,000"
2025/2/18,교통(말레이시아 대사 통역 업무),KR60004-Transportation Expenses,"8,200",KR30201-Friends Debt,"8,200"
2025/2/19,고기 w 리샤,KR10101-Toss Checking Account,"41,000",KR10214-Toss Preparation Fund Account,"41,000"
2025/2/19,고기 w 리샤,KR60002-Food Expenses,"41,000",KR10101-Toss Checking Account,"41,000"
2025/2/19,이자,KR10213-Toss Emergency Fund Account,486,KR70006-Other Income,486
2025/2/19,이자,KR10214-Toss Preparation Fund Account,4,KR70006-Other Income,4
2025/2/19,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/19,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/19,Recharge,KR10213-Toss Emergency Fund Account,"1,871",KR10101-Toss Checking Account,"1,871"
2025/2/19,교통(디딤돌 면접),KR60004-Transportation Expenses,"5,300",KR30201-Friends Debt,"5,300"
2025/2/20,이자,KR10213-Toss Emergency Fund Account,486,KR70006-Other Income,486
2025/2/20,이자,KR10214-Toss Preparation Fund Account,2,KR70006-Other Income,2
2025/2/20,신한카드환불,KR10103-Shinhan Checking Account,"1,730",KR70006-Other Income,"1,730"
2025/2/20,0,KR10101-Toss Checking Account,"641,457",KR70005-Allowance Income,"641,457"
2025/2/20,Recharge,KR10213-Toss Emergency Fund Account,"537,862",KR10101-Toss Checking Account,"537,862"
2025/2/20,Recharge,KR10214-Toss Preparation Fund Account,"109,925",KR10101-Toss Checking Account,"109,925"
2025/2/20,Transfer to Toss,KR10101-Toss Checking Account,"3,000",KR10102-Hana Checking Account,"3,000"
2025/2/20,Transfer to Toss,KR10101-Toss Checking Account,"1,730",KR10103-Shinhan Checking Account,"1,730"
2025/2/20,Recharge,KR10214-Toss Preparation Fund Account,"4,730",KR10101-Toss Checking Account,"4,730"
2025/2/20,Wei Tian,KR10102-Hana Checking Account,"150,000",KR30201-Friends Debt,"150,000"
2025/2/20,교통(미국대사관 방문),KR60004-Transportation Expenses,"2,800",KR30201-Friends Debt,"2,800"
2025/2/21,Transfer to Shinhan,KR10103-Shinhan Checking Account,"50,000",KR10102-Hana Checking Account,"50,000"
2025/2/21,GS25,KR60002-Food Expenses,"8,890",KR10103-Shinhan Checking Account,"8,890"
2025/2/21,Taxi (move houses),KR60004-Transportation Expenses,"6,200",KR10103-Shinhan Checking Account,"6,200"
2025/2/21,Transfer to Toss,KR10101-Toss Checking Account,"100,000",KR10102-Hana Checking Account,"100,000"
2025/2/21,Transfer to Toss,KR10101-Toss Checking Account,"34,313",KR10103-Shinhan Checking Account,"34,313"
2025/2/21,Recharge,KR10214-Toss Preparation Fund Account,"134,313",KR10101-Toss Checking Account,"134,313"
2025/2/21,2월 Interest,KR10101-Toss Checking Account,8,KR70002-Interest Income,8
2025/2/21,Recharge,KR10213-Toss Emergency Fund Account,8,KR10101-Toss Checking Account,8
2025/2/21,이자,KR10213-Toss Emergency Fund Account,505,KR70006-Other Income,505
2025/2/21,이자,KR10214-Toss Preparation Fund Account,8,KR70006-Other Income,8
2025/2/21,Transfer to Jing,KR10101-Toss Checking Account,"100,000",KR10214-Toss Preparation Fund Account,"100,000"
2025/2/21,Transfer to Jing,KR60005-Personal Expenses,"100,000",KR10101-Toss Checking Account,"100,000"
2025/2/21,SEA Lunch,KR10101-Toss Checking Account,"50,000",KR10214-Toss Preparation Fund Account,"50,000"
2025/2/21,SEA Lunch,KR60002-Food Expenses,"8,090",KR10101-Toss Checking Account,"8,090"
2025/2/21,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/21,Rent,KR10101-Toss Checking Account,"10,341,670",KR10213-Toss Emergency Fund Account,"10,341,670"
2025/2/21,Account Verification,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/21,중개보수,KR10101-Toss Checking Account,"333,489",KR10213-Toss Emergency Fund Account,"333,489"
2025/2/21,Taxi (move houses),KR10101-Toss Checking Account,"17,021",KR10213-Toss Emergency Fund Account,"17,021"
2025/2/21,Taxi (move houses),KR60004-Transportation Expenses,"6,900",KR10101-Toss Checking Account,"6,900"
2025/2/21,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/21,Boxes (move houses),KR60005-Personal Expenses,"4,600",KR10101-Toss Checking Account,"4,600"
2025/2/21,"김치찌개 (현재, 재국, 재호)",KR10101-Toss Checking Account,"60,000",KR10214-Toss Preparation Fund Account,"60,000"
2025/2/21,Taxi (move houses),KR60004-Transportation Expenses,"6,400",KR10101-Toss Checking Account,"6,400"
2025/2/21,Account Verification,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/21,채크카드 복권 당첨,KR10101-Toss Checking Account,4,KR70006-Other Income,4
2025/2/21,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/21,준,KR10102-Hana Checking Account,"100,000",KR10403-Friends Receivable,"100,000"
2025/2/21,Transfer to Kakao,KR10105-Kakao Checking Account,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/21,Apple Music,KR60005-Personal Expenses,"3,300",KR10105-Kakao Checking Account,"3,300"
2025/2/21,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/21,Transfer to Jing,KR60005-Personal Expenses,"21,790",KR10102-Hana Checking Account,"21,790"
2025/2/21,Transfer to Hani,KR60005-Personal Expenses,"2,900",KR10102-Hana Checking Account,"2,900"
2025/2/21,Transfer to Toss,KR10101-Toss Checking Account,"75,310",KR10102-Hana Checking Account,"75,310"
2025/2/21,Recharge,KR10214-Toss Preparation Fund Account,"73,847",KR10101-Toss Checking Account,"73,847"
2025/2/21,교통(이사),KR60004-Transportation Expenses,"7,500",KR30201-Friends Debt,"7,500"
2025/2/22,Taxi (move houses),KR60004-Transportation Expenses,"9,400",KR10101-Toss Checking Account,"9,400"
2025/2/22,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/22,이자,KR10214-Toss Preparation Fund Account,8,KR70006-Other Income,8
2025/2/22,빵,KR10101-Toss Checking Account,"10,000",KR10214-Toss Preparation Fund Account,"10,000"
2025/2/22,빵,KR10101-Toss Checking Account,"50,000",KR10214-Toss Preparation Fund Account,"50,000"
2025/2/22,빵,KR60002-Food Expenses,"28,500",KR10101-Toss Checking Account,"28,500"
2025/2/22,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/22,빵,KR60002-Food Expenses,"28,150",KR10101-Toss Checking Account,"28,150"
2025/2/22,중국어 새노래,KR60005-Personal Expenses,"10,000",KR10101-Toss Checking Account,"10,000"
2025/2/22,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/22,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/22,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/22,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/23,이자,KR10214-Toss Preparation Fund Account,5,KR70006-Other Income,5
2025/2/23,Transfer to Toss,KR10101-Toss Checking Account,"6,700",KR10105-Kakao Checking Account,"6,700"
2025/2/23,Internet 설치,KR10101-Toss Checking Account,"50,000",KR10214-Toss Preparation Fund Account,"50,000"
2025/2/23,황희 gift,KR10101-Toss Checking Account,"20,000",KR10214-Toss Preparation Fund Account,"20,000"
2025/2/23,황희 gift,KR60005-Personal Expenses,"48,340",KR10101-Toss Checking Account,"48,340"
2025/2/23,고기 w 식구,KR10101-Toss Checking Account,"30,000",KR10214-Toss Preparation Fund Account,"30,000"
2025/2/23,Transfer to Kakao,KR10105-Kakao Checking Account,"20,900",KR10101-Toss Checking Account,"20,900"
2025/2/23,고기 w 식구,KR60002-Food Expenses,"20,900",KR10105-Kakao Checking Account,"20,900"
2025/2/23,Davy,KR10105-Kakao Checking Account,"150,000",KR30201-Friends Debt,"150,000"
2025/2/23,Transfer to Toss,KR10101-Toss Checking Account,"150,000",KR10105-Kakao Checking Account,"150,000"
2025/2/23,집들이 w 문서진,KR60002-Food Expenses,"7,000",KR10101-Toss Checking Account,"7,000"
2025/2/23,교통(운동 모임),KR60004-Transportation Expenses,"1,500",KR30201-Friends Debt,"1,500"
2025/2/24,Sell 신한미국S&P500인덱스 70542@₩	1.44,KR10103-Shinhan Checking Account,"101,822",KR10404-Pending Investments,"101,822"
2025/2/24,Transfer to Toss,KR10101-Toss Checking Account,"102,419",KR10103-Shinhan Checking Account,"102,419"
2025/2/24,Recharge,KR10214-Toss Preparation Fund Account,"159,987",KR10101-Toss Checking Account,"159,987"
2025/2/24,Transfer to Toss,KR10101-Toss Checking Account,"20,072",KR10103-Shinhan Checking Account,"20,072"
2025/2/24,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/24,Recharge,KR10213-Toss Emergency Fund Account,100,KR10101-Toss Checking Account,100
2025/2/24,Recharge,KR10213-Toss Emergency Fund Account,"3,036",KR10101-Toss Checking Account,"3,036"
2025/2/24,교통(아현),KR60004-Transportation Expenses,"3,000",KR30201-Friends Debt,"3,000"
2025/2/25,Tisya,KR10105-Kakao Checking Account,"30,000",KR30201-Friends Debt,"30,000"
2025/2/25,Transfer to Toss,KR10101-Toss Checking Account,"30,000",KR10105-Kakao Checking Account,"30,000"
2025/2/25,이자,KR10214-Toss Preparation Fund Account,8,KR70006-Other Income,8
2025/2/25,Phone Plan,KR10501-Phone Plan,"70,000",KR10101-Toss Checking Account,"70,000"
2025/2/25,Ediya Coffee,KR60002-Food Expenses,"3,200",KR10101-Toss Checking Account,"3,200"
2025/2/25,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/25,Expenses,KR10101-Toss Checking Account,"50,000",KR10214-Toss Preparation Fund Account,"50,000"
2025/2/25,Ediya Coffee,KR60005-Personal Expenses,"8,900",KR10101-Toss Checking Account,"8,900"
2025/2/25,Cashback,KR10101-Toss Checking Account,100,KR70006-Other Income,100
2025/2/25,Father Oh’s friend,KR10403-Friends Receivable,"16,000",KR10101-Toss Checking Account,"16,000"
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,11,KR70006-Other Income,11
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,1,KR70006-Other Income,1
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,4,KR70006-Other Income,4
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,3,KR70006-Other Income,3
2025/2/25,채크카드 복권 당첨,KR10101-Toss Checking Account,2,KR70006-Other Income,2
2025/2/25,Recharge,KR10214-Toss Preparation Fund Account,"22,253",KR10101-Toss Checking Account,"22,253"
2025/2/25,교통(시온),KR60004-Transportation Expenses,"1,500",KR30201-Friends Debt,"1,500"
